Time,Closing,Dividen yield,Growth,conti,annual,Dividen,DividenMonth,warton,,
39904,9324.83,3.5,1.112092124,0.106243038,1.274916452,0.034401427,0.002915189,27.2233,0.002915189,0.002866786
39934,10370.07,3.08,1.000466728,0.000466619,0.005599427,0.0303352,0.002564955,26.6329,0.002564955,0.002527933
39965,10374.91,3.09,1.039734321,0.03896522,0.467582635,0.030432207,0.002572181,26.7205,0.002572181,0.002536017
39995,10787.15,2.97,1.007514496,0.007486403,0.089836839,0.029267498,0.002473811,26.7184,0.002473811,0.002438958
40026,10868.21,2.9,1.048467043,0.047329138,0.567949659,0.028587457,0.002411489,26.2402,0.002411489,0.002382288
40057,11394.96,2.76,0.957506652,-0.043422611,-0.521071328,0.027225986,0.002296553,26.1992,0.002296553,0.002268832
40087,10910.75,2.9,1.049167106,0.047996617,0.575959402,0.028587457,0.002410391,26.3309,0.002410391,0.002382288
40118,11447.2,2.76,1.026112062,0.025776963,0.30932356,0.027225986,0.002300003,26.3589,0.002300003,0.002268832
40148,11746.11,2.69,0.944509289,-0.057089758,-0.685077092,0.026544555,0.002243026,26.3764,0.002243026,0.002212046
40179,11094.31,2.86,1.048251761,0.047123787,0.56548545,0.028198654,0.002381591,26.4536,0.002381591,0.002349888
40210,11629.63,2.75,1.0350914,0.034489732,0.413876786,0.027128667,0.002289222,26.6533,0.002289222,0.002260722
40238,12037.73,2.65,1.014368988,0.014266733,0.171200792,0.026154957,0.00220506,26.5732,0.00220506,0.00217958
40269,12210.7,2.65,0.963334616,-0.037354455,-0.448253456,0.026154957,0.002204837,26.9523,0.002204837,0.00217958
40299,11762.99,2.77,0.96016574,-0.040649363,-0.487792361,0.027323296,0.00230379,27.1307,0.00230379,0.002276941
40330,11294.42,2.88,1.037098851,0.036427248,0.43712698,0.028393075,0.002400436,27.1441,0.002400436,0.00236609
