Date, ZC100YR, ZC300YR, ZC500YR, ZC700YR, ZC1000YR, ZC1200YR, ZC1400YR, ZC1500YR, 
12/1/1995,0.058215315,0.062993137,0.066876739,0.069577392,0.072364975,0.073783616,0.074985174,0.07550356, 
1/2/1996,0.056178894,0.061369899,0.066486429,0.069326116,0.072145449,0.073949294,0.075522473,0.076154953, 
2/1/1996,0.051974437,0.057460033,0.064017069,0.067918211,0.071333264,0.073390196,0.075365967,0.076256375, 
3/1/1996,0.053070483,0.060881207,0.066833833,0.071322308,0.076049334,0.078075336,0.079487247,0.080033597, 
4/1/1996,0.054174079,0.064659991,0.069702517,0.073497649,0.077794336,0.079676846,0.08100132,0.08150874, 
5/1/1996,0.053723761,0.065528554,0.071252314,0.075434086,0.0796727,0.081576113,0.083007517,0.083552983, 
6/3/1996,0.054121373,0.066277602,0.071755233,0.074954055,0.078280026,0.079977627,0.081252066,0.081722558, 
7/2/1996,0.054599903,0.066540128,0.071217323,0.074313034,0.077897179,0.079767203,0.081182325,0.081711298, 
8/1/1996,0.050602326,0.061663651,0.067740005,0.071605485,0.075613883,0.07771097,0.079324573,0.079924452, 
9/3/1996,0.048700965,0.061489854,0.067669111,0.071841758,0.076127987,0.078091321,0.079519269,0.080057744, 
10/1/1996,0.042419073,0.055628221,0.062743335,0.06765174,0.073048877,0.075373106,0.07690467,0.077454131, 
11/1/1996,0.03462845,0.048092655,0.055154717,0.060299013,0.066368324,0.068804011,0.070206903,0.070676393, 
12/2/1996,0.031406731,0.044586695,0.052647517,0.057863351,0.062493429,0.065125787,0.067565129,0.068594613, 
1/2/1997,0.038785589,0.051902992,0.058599371,0.062903612,0.067510565,0.069919579,0.07189131,0.072702128, 
2/3/1997,0.035545214,0.048535632,0.056904443,0.062059498,0.067007313,0.069769347,0.072179977,0.073177461, 
3/3/1997,0.036967623,0.049263419,0.05668959,0.061417516,0.066183504,0.068805535,0.070969828,0.071820287, 
4/1/1997,0.042714216,0.055146707,0.061789627,0.065514784,0.069345985,0.071692598,0.073652736,0.074402509, 
5/1/1997,0.040572518,0.053754123,0.060370295,0.06368287,0.067314633,0.06960524,0.071450776,0.072123435, 
6/2/1997,0.038415931,0.052001409,0.058631938,0.062176849,0.066103701,0.068409477,0.070239497,0.070919987, 
7/2/1997,0.040167013,0.051499308,0.056547771,0.059732825,0.063274391,0.065564786,0.067684533,0.06857359, 
8/1/1997,0.041829591,0.050284392,0.054114444,0.056936656,0.05996949,0.061728884,0.063335007,0.064031827, 
9/2/1997,0.040193866,0.049813776,0.05463596,0.057621904,0.060725984,0.06281594,0.064861045,0.065758837, 
10/1/1997,0.039562756,0.048650659,0.051914682,0.054604106,0.057582763,0.059568675,0.061581479,0.062480865, 
11/3/1997,0.04061334,0.048453972,0.051114586,0.053446158,0.056144044,0.057939127,0.059760889,0.060567819, 
12/1/1997,0.04429399,0.050844673,0.052926795,0.054597353,0.056011127,0.057341921,0.058887496,0.059566235, 
1/2/1998,0.048052963,0.051558256,0.052959829,0.054111833,0.055170866,0.056565569,0.05826383,0.059019187, 
2/2/1998,0.049273755,0.051540734,0.052281984,0.053113475,0.053969844,0.055177331,0.056688047,0.057368273, 
3/2/1998,0.049045798,0.051725468,0.05275224,0.053971142,0.055075696,0.056189999,0.057594268,0.058254979, 
4/1/1998,0.047520918,0.049902433,0.050883134,0.051925734,0.0531063,0.054178705,0.055465643,0.056085716, 
5/1/1998,0.049252898,0.050614968,0.051525415,0.052337886,0.053269645,0.054314803,0.055562844,0.056136359, 
6/1/1998,0.049857863,0.050922485,0.051327372,0.051873779,0.052611756,0.053436713,0.054481997,0.055007929, 
7/2/1998,0.050445239,0.051675356,0.051832351,0.052041767,0.052645414,0.053085653,0.053508351,0.053716649, 
8/4/1998,0.051975187,0.053351013,0.053312468,0.053370481,0.053957846,0.054191199,0.054215316,0.054205217, 
9/1/1998,0.056168676,0.054965307,0.054873359,0.054596123,0.05444963,0.055003791,0.05579319,0.056155925, 
10/1/1998,0.04746905,0.04588864,0.046373714,0.047569619,0.047990489,0.047540101,0.047455629,0.047733306, 
11/2/1998,0.046980794,0.047992189,0.049288519,0.050504449,0.052342445,0.053295562,0.053983927,0.05427057, 
12/1/1998,0.047378051,0.047303669,0.047385094,0.047904956,0.04917983,0.049939955,0.050587557,0.050910463, 
1/4/1999,0.046898561,0.047338016,0.047392093,0.047815956,0.04902834,0.0497514,0.050321166,0.050587269, 
2/1/1999,0.047760051,0.048244139,0.048347911,0.048619758,0.049612132,0.050270366,0.050802992,0.051048141, 
3/1/1999,0.051573054,0.053695966,0.053652758,0.05352925,0.053821491,0.053861243,0.053717612,0.053643358, 
4/1/1999,0.047085792,0.048753093,0.049301381,0.04972233,0.050630211,0.051110072,0.051455405,0.051626127, 
5/3/1999,0.045952435,0.049073993,0.050288029,0.051062059,0.052231004,0.052611279,0.052703067,0.052739324, 
6/1/1999,0.050661645,0.054656566,0.054770621,0.054904252,0.055254161,0.055193548,0.055011924,0.054956436, 
7/2/1999,0.049713394,0.052714363,0.053537936,0.054061204,0.054674363,0.05497122,0.055272736,0.055451935, 
8/3/1999,0.052182046,0.054964692,0.056132692,0.056532295,0.056741457,0.057525849,0.05859265,0.059080469, 
9/1/1999,0.053222145,0.056111356,0.056861574,0.056811573,0.056999843,0.05803879,0.059323951,0.059866646, 
10/1/1999,0.05214405,0.056533907,0.057516528,0.057689945,0.058244658,0.059353429,0.060634955,0.061173833, 
11/1/1999,0.054031017,0.058312898,0.059186557,0.059234086,0.059711148,0.060927613,0.062291805,0.062829269, 
12/1/1999,0.055248868,0.060146426,0.060776221,0.060561426,0.06089472,0.061980294,0.063126518,0.063537593, 
1/4/2000,0.05633245,0.062205609,0.063013287,0.063142586,0.063566932,0.064044171,0.064564814,0.064799119, 
2/1/2000,0.058224112,0.063687442,0.064601112,0.064318333,0.064261747,0.064904773,0.065506012,0.065622005, 
3/1/2000,0.056634256,0.060499474,0.061313399,0.060642999,0.060535937,0.061479337,0.062200734,0.062245954, 
4/3/2000,0.057834439,0.059409446,0.059575835,0.058758262,0.058423598,0.059376743,0.060386657,0.060668064, 
5/1/2000,0.05914098,0.062395209,0.062169,0.061837965,0.061559496,0.06158235,0.061744421,0.061828377, 
6/1/2000,0.060130072,0.060777105,0.059968262,0.059438862,0.058834617,0.058735337,0.05898494,0.059202593, 
7/4/2000,0.057999516,0.0585525,0.058322896,0.057978507,0.057534879,0.057611188,0.058051941,0.058360954, 
8/1/2000,0.058340839,0.059509729,0.059089428,0.058393398,0.057838916,0.057986452,0.058460394,0.058755145, 
9/1/2000,0.056963925,0.05726011,0.057075847,0.05659906,0.055958742,0.056088327,0.056721418,0.057155041, 
10/2/2000,0.056468962,0.057292127,0.057444183,0.05737088,0.0572841,0.057474224,0.057927923,0.058232234, 
11/1/2000,0.057036398,0.057976922,0.058047963,0.057893775,0.057649909,0.057789131,0.058258852,0.058586104, 
12/1/2000,0.055942351,0.055503686,0.055281029,0.055001116,0.054939864,0.055368253,0.056110523,0.056536526, 
1/2/2001,0.051330428,0.050954475,0.05139149,0.051892445,0.052542151,0.052489653,0.052484922,0.052677081, 
2/1/2001,0.04820115,0.049436907,0.051369253,0.052425424,0.053831628,0.054974781,0.056211749,0.056828959, 
3/1/2001,0.047211057,0.049159801,0.05085514,0.052056409,0.053216745,0.053418428,0.05361516,0.05387429, 
4/2/2001,0.046160562,0.049787943,0.052146589,0.053646478,0.055384307,0.056400906,0.057372899,0.057857287, 
5/1/2001,0.04451341,0.050598357,0.053946132,0.05578494,0.057917696,0.059015987,0.059823386,0.06015171, 
6/1/2001,0.044760107,0.051978983,0.055152996,0.056488947,0.058181144,0.059078583,0.05964917,0.059848311, 
7/3/2001,0.045787284,0.053527025,0.056638466,0.057931979,0.059466054,0.060244964,0.060753812,0.060949508, 
8/1/2001,0.042006797,0.050285196,0.053855214,0.055466389,0.057407248,0.058485361,0.059315176,0.059669805, 
9/4/2001,0.038775089,0.047264286,0.051427284,0.053362248,0.055742874,0.057073837,0.058053444,0.058443366, 
10/1/2001,0.030301444,0.040341818,0.047113575,0.050907317,0.054736615,0.056524739,0.057793188,0.058305241, 
11/1/2001,0.023614978,0.035194525,0.043071048,0.047611098,0.0506101,0.051847719,0.05331583,0.054125647, 
12/3/2001,0.022872192,0.037451088,0.045240647,0.049964234,0.052394019,0.053130928,0.054502075,0.055413089, 
1/2/2002,0.023039261,0.040467579,0.048721463,0.053256373,0.055470774,0.055987194,0.057036322,0.057774467, 
2/1/2002,0.024870066,0.040919589,0.048720129,0.052954311,0.054917244,0.055373305,0.05639608,0.057139485, 
3/1/2002,0.026839148,0.041959526,0.048945122,0.05306443,0.055192806,0.055716457,0.056743586,0.057483351, 
4/1/2002,0.033963449,0.048853841,0.054162188,0.057093939,0.058417714,0.058660713,0.059280852,0.059763487, 
5/1/2002,0.03221298,0.045633248,0.051132856,0.054496664,0.056710989,0.057322066,0.058060945,0.05853401, 
6/3/2002,0.0337769,0.04519906,0.05017939,0.053502069,0.055429855,0.055908609,0.05671168,0.057278532, 
7/2/2002,0.032114183,0.04283657,0.048312363,0.051964795,0.054513321,0.055453336,0.056598796,0.057263922, 
8/1/2002,0.028409705,0.036975845,0.044644272,0.049674372,0.053347094,0.054773446,0.056226588,0.056990678, 
9/3/2002,0.030048073,0.03719657,0.042495293,0.046909867,0.049987734,0.050897661,0.052086908,0.052847933, 
10/1/2002,0.0297134,0.037177018,0.043021762,0.047740763,0.050930249,0.051863814,0.05305196,0.053806667, 
11/1/2002,0.028407118,0.036471209,0.042974855,0.048147117,0.051998535,0.053272911,0.054665452,0.055462285, 
12/2/2002,0.029910261,0.038486798,0.04466027,0.0492736,0.052661397,0.053827397,0.055055741,0.055730955, 
1/2/2003,0.02857545,0.036185468,0.042170129,0.046932359,0.050560809,0.051963451,0.05350758,0.05434802, 
2/3/2003,0.032333884,0.038999786,0.044245353,0.048395288,0.051500262,0.052722675,0.054036568,0.054741409, 
3/3/2003,0.032162583,0.037767649,0.043058073,0.047240391,0.050421454,0.051819671,0.053349065,0.054152163, 
4/1/2003,0.034981755,0.04081932,0.045655374,0.049379723,0.052283673,0.053575011,0.054942802,0.055648825, 
5/1/2003,0.034310848,0.03865209,0.043397247,0.047060199,0.05012098,0.051568015,0.053029148,0.053755054, 
6/2/2003,0.031478794,0.034018984,0.038775059,0.042839084,0.045866084,0.047266856,0.048897192,0.049766901, 
7/2/2003,0.028824186,0.032992494,0.038291658,0.042848124,0.04619397,0.047580255,0.04920535,0.050092917, 
8/5/2003,0.028334685,0.03546591,0.042377766,0.047553434,0.050964175,0.051845387,0.052923828,0.053610371, 
9/2/2003,0.028172672,0.036019309,0.042289072,0.047152488,0.050175555,0.051215753,0.052610989,0.053432806, 
10/1/2003,0.025248773,0.03232829,0.038226545,0.04319985,0.046491387,0.047787036,0.049509247,0.050496352, 
11/3/2003,0.027371382,0.035907975,0.04216641,0.046912289,0.050024617,0.051143814,0.052585677,0.053424892, 
12/1/2003,0.027457779,0.036030039,0.042162316,0.046668761,0.049548053,0.050581659,0.051960556,0.05277646, 
1/2/2004,0.025874591,0.034756409,0.041398674,0.046099329,0.048968848,0.050023189,0.051490045,0.052362974, 
2/2/2004,0.022598349,0.031090299,0.038244744,0.043535046,0.046873274,0.048058519,0.049677246,0.050659339, 
3/1/2004,0.020940418,0.028695996,0.036064522,0.041508944,0.044988337,0.046155322,0.047698152,0.048649353, 
4/1/2004,0.01991303,0.028654196,0.036006864,0.041483699,0.045083791,0.046305785,0.047909279,0.048896655, 
5/3/2004,0.020992639,0.031535307,0.038963039,0.044257689,0.04746345,0.048408317,0.049786762,0.050684121, 
6/1/2004,0.025285196,0.035919309,0.042342643,0.046849936,0.04917156,0.049809898,0.051024187,0.051860647, 
7/2/2004,0.02534573,0.035973291,0.042017767,0.046255641,0.048355638,0.049012581,0.050337595,0.051238724, 
8/3/2004,0.025218085,0.035866955,0.041722647,0.045927043,0.047827754,0.048438168,0.049803839,0.050726422, 
9/7/2004,0.028116138,0.035947938,0.041482107,0.045486506,0.047397961,0.048118988,0.049505275,0.050402468, 
10/1/2004,0.028207442,0.035861897,0.041090465,0.045064572,0.046921696,0.047552269,0.048887207,0.049778658, 
11/1/2004,0.028724855,0.035152242,0.039738924,0.043400092,0.045594477,0.046384693,0.047634511,0.048424066, 
12/1/2004,0.026461991,0.033069949,0.038143937,0.042426563,0.045117216,0.045975096,0.047258798,0.048075452, 
1/4/2005,0.026862417,0.033350067,0.037964044,0.041752812,0.04407321,0.044892826,0.046160415,0.046959687, 
2/1/2005,0.025956475,0.032115243,0.036625109,0.04060109,0.043008393,0.043745153,0.044932145,0.045703554, 
3/1/2005,0.026717702,0.032622435,0.037383515,0.041296621,0.043556796,0.044359882,0.045631979,0.046420171, 
